,0
2000-10-31,-9000.0
2000-11-01,-19000.0
2000-11-02,63000.0
2000-11-03,24000.0
2000-11-04,-41000.0
2000-11-06,6000.0
2000-11-07,48000.0
2000-11-08,32400.0
2000-11-09,15600.0
2000-11-10,2000.0
2000-11-13,-71000.0
2000-11-14,8000.0
2000-11-15,-13000.0
2000-11-16,-91200.0
2000-11-17,-8800.0
2000-11-18,-40000.0
2000-11-20,-71800.0
2000-11-21,66600.0
2000-11-22,-13000.0
2000-11-23,37000.0
2000-11-24,57200.0
2000-11-27,-6000.0
2000-11-28,-35000.0
2000-11-29,6600.0
2000-11-30,-29400.0
2000-12-01,51800.0
2000-12-02,-35800.0
2000-12-04,-9200.0
2000-12-05,6800.0
2000-12-06,-16800.0
2000-12-07,14000.0
2000-12-08,13000.0
2000-12-11,4000.0
2000-12-12,12000.0
2000-12-13,8000.0
2000-12-14,-21000.0
2000-12-15,-24800.0
2000-12-16,-13000.0
2000-12-18,-7600.0
2000-12-19,-9600.0
2000-12-20,-33400.0
2000-12-21,-39200.0
2000-12-22,34000.0
2000-12-26,-33800.0
2000-12-27,-24600.0
2000-12-28,60400.0
2000-12-29,-32000.0
2000-12-30,12600.0
2001-01-02,24400.0
2001-01-03,-4400.0
2001-01-04,50200.0
2001-01-05,43800.0
2001-01-08,-28800.0
2001-01-09,40800.0
2001-01-10,1600.0
2001-01-11,-13600.0
2001-01-12,7600.0
2001-01-15,5800.0
2001-01-16,67800.0
2001-01-17,11200.0
2001-01-18,29400.0
2001-01-29,-58200.0
2001-01-30,32200.0
2001-01-31,26400.0
2001-02-01,-10200.0
2001-02-02,23800.0
2001-02-05,-21600.0
2001-02-06,-14800.0
2001-02-07,-30800.0
2001-02-08,18600.0
2001-02-09,-4200.0
2001-02-12,13000.0
2001-02-13,44000.0
2001-02-14,-40000.0
2001-02-15,51000.0
2001-02-16,-14000.0
2001-02-19,-16400.0
2001-02-20,2600.0
2001-02-21,5000.0
2001-02-22,-42400.0
2001-02-23,-4600.0
2001-02-26,2800.0
2001-02-27,-19000.0
2001-03-01,-25800.0
2001-03-02,-6200.0
2001-03-05,22800.0
2001-03-06,2600.0
2001-03-07,20200.0
2001-03-08,-4600.0
2001-03-09,-16000.0
2001-03-12,-19000.0
2001-03-13,19200.0
2001-03-14,4000.0
2001-03-15,25800.0
2001-03-16,-4000.0
2001-03-19,-24000.0
2001-03-20,7000.0
2001-03-21,-8600.0
2001-03-22,23600.0
2001-03-23,12600.0
2001-03-26,17200.0
2001-03-27,-6200.0
2001-03-28,-7600.0
2001-03-29,8000.0
2001-03-30,-15000.0
2001-04-02,-34800.0
2001-04-03,-30200.0
2001-04-04,-200.0
2001-04-06,12200.0
2001-04-09,-22200.0
2001-04-10,-19600.0
2001-04-11,34800.0
2001-04-12,5000.0
2001-04-13,-11800.0
2001-04-16,-7600.0
2001-04-17,3400.0
2001-04-18,17400.0
2001-04-19,20200.0
2001-04-20,-8000.0
2001-04-23,11200.0
2001-04-24,-4600.0
2001-04-25,-19200.0
2001-04-26,7000.0
2001-04-27,-24200.0
2001-04-30,-1800.0
2001-05-02,-16200.0
2001-05-03,16400.0
2001-05-04,-40800.0
2001-05-07,8200.0
2001-05-08,-7800.0
2001-05-09,-1200.0
2001-05-10,-12200.0
2001-05-11,15600.0
2001-05-14,-7000.0
2001-05-15,-4000.0
2001-05-16,-21000.0
2001-05-17,14000.0
2001-05-18,-12200.0
2001-05-21,-21400.0
2001-05-22,2200.0
2001-05-23,46400.0
2001-05-24,-400.0
2001-05-25,-8200.0
2001-05-28,-14400.0
2001-05-29,400.0
2001-05-30,-2000.0
2001-05-31,-3400.0
2001-06-01,-10800.0
2001-06-04,-200.0
2001-06-05,12800.0
2001-06-06,20000.0
2001-06-07,-7800.0
2001-06-08,17000.0
2001-06-11,9800.0
2001-06-12,-8800.0
2001-06-13,-10400.0
2001-06-14,-10600.0
2001-06-15,1800.0
2001-06-18,-12200.0
2001-06-19,-1200.0
2001-06-20,-9200.0
2001-06-21,-9200.0
2001-06-22,-5000.0
2001-06-26,-26200.0
2001-06-27,11200.0
2001-06-28,-10200.0
2001-06-29,10400.0
2001-07-02,8800.0
2001-07-03,-18000.0
2001-07-04,-15000.0
2001-07-05,-5400.0
2001-07-06,4600.0
2001-07-09,-9000.0
2001-07-10,-10600.0
2001-07-11,-18200.0
2001-07-12,20400.0
2001-07-13,-37800.0
2001-07-16,-19200.0
2001-07-17,-8200.0
2001-07-18,-35400.0
2001-07-19,-200.0
2001-07-20,-3000.0
2001-07-23,-8400.0
2001-07-24,-11200.0
2001-07-25,15200.0
2001-07-26,23400.0
2001-07-27,-2600.0
2001-07-31,9800.0
2001-08-01,-4800.0
2001-08-02,37600.0
2001-08-03,8000.0
2001-08-06,-15000.0
2001-08-07,-5000.0
2001-08-08,24200.0
2001-08-09,-22200.0
2001-08-10,12800.0
2001-08-13,4200.0
2001-08-14,25800.0
2001-08-15,200.0
2001-08-16,5800.0
2001-08-17,-3800.0
2001-08-20,-17600.0
2001-08-21,4800.0
2001-08-22,-21200.0
2001-08-23,1600.0
2001-08-24,-33000.0
2001-08-27,7600.0
2001-08-28,-6000.0
2001-08-29,34800.0
2001-08-30,-5600.0
2001-08-31,-3000.0
2001-09-03,-12800.0
2001-09-04,20200.0
2001-09-05,-20600.0
2001-09-06,-9200.0
2001-09-07,-9200.0
2001-09-10,-800.0
2001-09-11,-25600.0
2001-09-13,-58000.0
2001-09-14,-31400.0
2001-09-19,6400.0
2001-09-20,-37200.0
2001-09-21,-24800.0
2001-09-24,16600.0
2001-09-25,-16000.0
2001-09-26,39000.0
2001-09-27,-13000.0
2001-09-28,11200.0
2001-10-02,-37800.0
2001-10-03,600.0
2001-10-04,8600.0
2001-10-05,16000.0
2001-10-08,-8200.0
2001-10-09,20600.0
2001-10-11,46000.0
2001-10-12,-4000.0
2001-10-15,-18800.0
2001-10-16,15800.0
2001-10-17,2000.0
2001-10-18,-10000.0
2001-10-19,10000.0
2001-10-22,17200.0
2001-10-23,-11200.0
2001-10-24,21200.0
2001-10-25,6400.0
2001-10-26,0.0
2001-10-29,400.0
2001-10-30,-28000.0
2001-10-31,3200.0
2001-11-01,800.0
2001-11-02,12200.0
2001-11-05,19800.0
2001-11-06,-8000.0
2001-11-07,14000.0
2001-11-08,-4000.0
2001-11-09,-4000.0
2001-11-12,17000.0
2001-11-13,-9000.0
2001-11-14,34000.0
2001-11-15,24000.0
2001-11-16,16600.0
2001-11-19,30400.0
2001-11-20,-28200.0
2001-11-21,23200.0
2001-11-22,-26200.0
2001-11-23,14000.0
2001-11-26,22600.0
2001-11-27,-15400.0
2001-11-28,-29000.0
2001-11-29,3400.0
2001-11-30,-3400.0
2001-12-03,39800.0
2001-12-04,30400.0
2001-12-05,33800.0
2001-12-06,68600.0
2001-12-07,23000.0
2001-12-10,-15200.0
2001-12-11,1200.0
2001-12-12,70200.0
2001-12-13,-44800.0
2001-12-14,25000.0
2001-12-17,-19400.0
2001-12-18,-18600.0
2001-12-19,-31400.0
2001-12-20,16400.0
2001-12-21,-48000.0
2001-12-24,13200.0
2001-12-25,57800.0
2001-12-26,-5000.0
2001-12-27,-18600.0
2001-12-28,23600.0
2001-12-31,39600.0
2002-01-02,-2600.0
2002-01-03,-24400.0
2002-01-04,34400.0
2002-01-07,36400.0
2002-01-08,-400.0
2002-01-09,8800.0
2002-01-10,-6000.0
2002-01-11,-37800.0
2002-01-14,-10000.0
2002-01-15,0.0
2002-01-16,-26000.0
2002-01-17,-2000.0
2002-01-18,-1400.0
2002-01-21,76200.0
2002-01-22,-4000.0
2002-01-23,-5800.0
2002-01-24,5000.0
2002-01-25,30800.0
2002-01-28,15000.0
2002-01-29,-41800.0
2002-01-30,-1000.0
2002-01-31,3200.0
2002-02-01,5400.0
2002-02-04,-4000.0
2002-02-05,9200.0
2002-02-06,17000.0
2002-02-18,-2600.0
2002-02-19,-26200.0
2002-02-20,-28000.0
2002-02-21,-5800.0
2002-02-22,-7200.0
2002-02-25,-19600.0
2002-02-26,1400.0
2002-02-27,34200.0
2002-03-01,-10000.0
2002-03-04,52000.0
2002-03-05,10800.0
2002-03-06,31200.0
2002-03-07,-8000.0
2002-03-08,-7800.0
2002-03-11,29800.0
2002-03-12,-14000.0
2002-03-13,-8000.0
2002-03-14,5000.0
2002-03-15,-40200.0
2002-03-18,8800.0
2002-03-19,-9200.0
2002-03-20,34400.0
2002-03-21,-5000.0
2002-03-22,21200.0
2002-03-25,3000.0
2002-03-26,7600.0
2002-03-27,-24600.0
2002-03-28,9000.0
2002-03-29,3000.0
2002-04-01,-8000.0
2002-04-02,23600.0
2002-04-03,7600.0
2002-04-04,-21800.0
2002-04-08,-6600.0
2002-04-09,-15600.0
2002-04-10,-3200.0
2002-04-11,1400.0
2002-04-12,25200.0
2002-04-15,4200.0
2002-04-16,10400.0
2002-04-17,43800.0
2002-04-18,-18000.0
2002-04-19,7600.0
2002-04-22,2400.0
2002-04-23,-13000.0
2002-04-24,15000.0
2002-04-25,-20400.0
2002-04-26,-2000.0
2002-04-29,-27200.0
2002-04-30,-14400.0
2002-05-02,-43400.0
2002-05-03,6600.0
2002-05-06,-60200.0
2002-05-07,9400.0
2002-05-08,17600.0
2002-05-09,1600.0
2002-05-10,19400.0
2002-05-13,-11800.0
2002-05-14,-4400.0
2002-05-15,23400.0
2002-05-16,-29800.0
2002-05-17,12600.0
2002-05-20,-57400.0
2002-05-21,-21600.0
2002-05-22,18600.0
2002-05-23,200.0
2002-05-24,38800.0
2002-05-27,3600.0
2002-05-28,-13200.0
2002-05-29,-19000.0
2002-05-30,24000.0
2002-05-31,-8600.0
2002-06-03,-22400.0
2002-06-04,-4000.0
2002-06-05,23000.0
2002-06-06,-10800.0
2002-06-07,-40600.0
2002-06-10,22400.0
2002-06-11,-16000.0
2002-06-12,8200.0
2002-06-13,29800.0
2002-06-14,4000.0
2002-06-17,-8000.0
2002-06-18,8000.0
2002-06-19,-46000.0
2002-06-20,8000.0
2002-06-21,6000.0
2002-06-24,-5000.0
2002-06-25,-14800.0
2002-06-26,-51600.0
2002-06-27,2400.0
2002-06-28,10400.0
2002-07-01,-44200.0
2002-07-02,4800.0
2002-07-03,21600.0
2002-07-04,4400.0
2002-07-05,18000.0
2002-07-08,20000.0
2002-07-09,7400.0
2002-07-10,-21400.0
2002-07-11,-14000.0
2002-07-12,57000.0
2002-07-15,-9000.0
2002-07-16,-10400.0
2002-07-17,-15600.0
2002-07-18,-8200.0
2002-07-19,-15000.0
2002-07-22,-19800.0
2002-07-23,33000.0
2002-07-24,-29600.0
2002-07-25,3000.0
2002-07-26,-62400.0
2002-07-29,17600.0
2002-07-30,22600.0
2002-07-31,-10200.0
2002-08-01,-600.0
2002-08-02,5600.0
2002-08-05,-68800.0
2002-08-06,-9200.0
2002-08-07,27800.0
2002-08-08,-7400.0
2002-08-09,27400.0
2002-08-12,800.0
2002-08-13,-400.0
2002-08-14,15200.0
2002-08-15,12000.0
2002-08-16,-5000.0
2002-08-19,-5600.0
2002-08-20,9200.0
2002-08-21,-1200.0
2002-08-22,10400.0
2002-08-23,-2200.0
2002-08-26,2600.0
2002-08-27,-19400.0
2002-08-28,-13200.0
2002-08-29,0.0
2002-08-30,-7800.0
2002-09-02,-25800.0
2002-09-03,-3400.0
2002-09-04,-8600.0
2002-09-05,-23000.0
2002-09-09,11800.0
2002-09-10,29400.0
2002-09-11,2400.0
2002-09-12,-5800.0
2002-09-13,-18200.0
2002-09-16,-23600.0
2002-09-17,43600.0
2002-09-18,-33000.0
2002-09-19,-6800.0
2002-09-20,-15200.0
2002-09-23,-10200.0
2002-09-24,-4600.0
2002-09-25,-23200.0
2002-09-26,6000.0
2002-09-27,-3000.0
2002-09-30,-13400.0
2002-10-01,-600.0
2002-10-02,-1400.0
2002-10-03,-13800.0
2002-10-04,1000.0
2002-10-07,-30600.0
2002-10-08,13800.0
2002-10-09,-18600.0
2002-10-11,-10800.0
2002-10-14,12400.0
2002-10-15,54200.0
2002-10-16,9400.0
2002-10-17,13600.0
2002-10-18,26800.0
2002-10-21,-8000.0
2002-10-22,-13600.0
2002-10-23,60000.0
2002-10-24,-9800.0
2002-10-25,-4600.0
2002-10-28,3800.0
2002-10-29,-3600.0
2002-10-30,-16200.0
2002-10-31,21800.0
2002-11-01,-16600.0
2002-11-04,25800.0
2002-11-05,-9400.0
2002-11-06,34400.0
2002-11-07,5600.0
2002-11-08,7000.0
2002-11-11,-20600.0
2002-11-12,-1400.0
2002-11-13,-3200.0
2002-11-14,1000.0
2002-11-15,30600.0
2002-11-18,-5000.0
2002-11-19,-10000.0
2002-11-20,-15800.0
2002-11-21,-6000.0
2002-11-22,15800.0
2002-11-25,7600.0
2002-11-26,-13400.0
2002-11-27,-5200.0
2002-11-28,-3000.0
2002-11-29,6000.0
2002-12-02,8600.0
2002-12-03,12600.0
2002-12-04,-6200.0
2002-12-05,3600.0
2002-12-06,-3800.0
2002-12-09,9200.0
2002-12-10,-7000.0
2002-12-11,-13800.0
2002-12-12,200.0
2002-12-13,-12800.0
2002-12-16,-4600.0
2002-12-17,-4800.0
2002-12-18,-5200.0
2002-12-19,0.0
2002-12-20,4600.0
2002-12-23,-7400.0
2002-12-24,-1200.0
2002-12-25,-8400.0
2002-12-26,8600.0
2002-12-27,-6000.0
2002-12-30,-17000.0
2002-12-31,-2200.0
2003-01-02,9400.0
2003-01-03,23800.0
2003-01-06,12800.0
2003-01-07,1200.0
2003-01-08,26000.0
2003-01-09,2800.0
2003-01-10,8600.0
2003-01-13,39400.0
2003-01-14,-3200.0
2003-01-15,7000.0
2003-01-16,-20800.0
2003-01-17,-3000.0
2003-01-20,8600.0
